138,Céu de Viagem,9,Ana Gomes
139,Tradição de Aventura,10,Maria Oliveira
140,Eterno de História,1,Isabela Gomes
141,História de Destino,2,Laura Costa
142,Futuro de Coração,3,Mateus Souza
143,Caminhada de Caminhada,4,Mateus Souza
144,Herança de Vento,5,João Souza
145,Fronteira de Eterno,6,Laura Almeida
146,Raízes de Luz,7,João Ferreira
147,Sonho de Tradição,8,Beatriz Silva
148,Fogo de Fogo,9,Mateus Santos
149,Caminhada de Sonho,10,João Oliveira
150,Raízes de Amor,1,Ana Pereira
151,Montanha de Tradição,2,Mateus Pereira
152,Alma de Amor,3,Beatriz Silva
153,Montanha de Enigma,4,João Gomes
154,Mistério de Labirinto,5,Isabela Santos
155,Montanha de Labirinto,6,Maria Oliveira
156,Eterno de Mar,7,Laura Costa
157,Mistério de Sonho,8,Laura Oliveira
158,Terra de Esperança,9,João Costa
159,Raízes de Enigma,10,Ana Almeida
160,Raízes de Revolução,1,Rafael Souza
161,Enigma de Renascer,2,João Gomes
162,Destino de Viagem,3,Maria Souza
163,Refúgio de Fronteira,4,Beatriz Oliveira
164,Reflexo de Ecos,5,João Costa
165,Coração de Memória,6,Ana Pereira
166,Enigma de Herança,7,João Gomes
167,Coração de Futuro,8,Beatriz Pereira
168,Céu de Refúgio,9,Pedro Santos
169,Labirinto de Sombras,10,Pedro Costa
170,Terra de Fogo,1,Carlos Pereira
171,Caminho de Memória,2,Carlos Ferreira
172,Segredo de Cidade,3,João Pereira
173,História de História,4,Beatriz Almeida
174,Raízes de Liberdade,5,Beatriz Souza
175,Luz de Horizonte,6,Pedro Oliveira
176,Enigma de Memória,7,João Almeida
177,Futuro de Vida,8,Beatriz Ferreira
178,Segredo de Guerra,9,João Silva
179,Mistério de Tradição,10,Carlos Lima
180,Sombras de Refúgio,1,Pedro Oliveira
181,Horizonte de Raízes,2,Maria Ferreira
182,Céu de Vento,3,Pedro Silva
183,Segredo de Sonho,4,Pedro Gomes
184,Sabedoria de Sabedoria,5,Ana Gomes
185,Eterno de Revolução,6,Laura Santos
186,Tradição de Mistério,7,Ana Costa
187,Reflexo de Destino,8,Rafael Costa
188,Raízes de Caminho,9,Carlos Lima
189,Sabedoria de Enigma,10,Ana Almeida
190,Esperança de Ecos,1,Maria Silva
191,Aventura de Vento,2,Mateus Costa
192,Horizonte de Terra,3,Laura Souza
193,Enigma de Fogo,4,Isabela Silva
194,Liberdade de História,5,Rafael Santos
195,Sombras de Labirinto,6,Laura Santos
196,Fogo de Sombras,7,Laura Costa
197,Céu de Cidade,8,Ana Pereira
198,Segredo de Viagem,9,Isabela Souza
199,Guerra de Horizonte,10,Carlos Almeida
200,Memória de Futuro,1,Rafael Souza
201,Amor de Luz,2,João Santos
202,Mistério de Montanha,3,Maria Silva
203,Herança de Caminhada,4,Rafael Almeida
204,Ecos de Ecos,5,Beatriz Ferreira
205,Raízes de Fogo,6,Maria Lima
206,Segredo de Liberdade,7,Pedro Souza
207,História de Eterno,8,Isabela Costa
208,Refúgio de Fogo,9,Rafael Souza
209,Viagem de Herança,10,Mateus Almeida
210,Coração de Coração,1,Pedro Almeida
211,Tradição de Amor,2,Isabela Pereira
212,Futuro de Sabedoria,3,Isabela Souza
213,Revolução de Mar,4,Isabela Pereira
214,Céu de Revolução,5,Maria Souza
215,Reflexo de Natureza,6,Maria Lima
216,Fogo de Vento,7,Carlos Santos
217,Céu de História,8,Pedro Santos
218,Horizontes de Tradição,9,Mateus Santos
219,Enigma de Fronteira,10,Laura Oliveira
220,Horizontes de Viagem,1,Ana Almeida
221,Refúgio de Amor,2,Ana Pereira
222,Tradição de Vida,3,João Costa
223,Sonho de Vida,4,Maria Lima
224,Renascer de Tradição,5,Rafael Ferreira
225,Esperança de Aventura,6,Carlos Costa
226,Renascer de Memória,7,João Pereira
227,Horizonte de História,8,Beatriz Lima
228,Viagem de Mistério,9,Mateus Ferreira
229,Esperança de Herança,10,Pedro Ferreira
230,Amor de Sabedoria,1,Mateus Santos
231,Horizonte de Reflexo,2,João Gomes
232,Herança de Luz,3,Maria Oliveira
233,Vida de Cidade,4,Laura Oliveira
234,Luz de Mistério,5,Rafael Costa
235,Refúgio de Ecos,6,Mateus Oliveira
236,Coração de Herança,7,João Silva
237,Sonho de Raízes,8,Beatriz Santos
238,Revolução de Enigma,9,Laura Costa
239,Imortal de Fogo,10,Carlos Pereira
240,Caminho de Coração,1,João Ferreira
241,Amor de Futuro,2,Isabela Silva
242,Refúgio de Sombras,3,Ana Gomes
243,Esperança de Raízes,4,Carlos Costa
244,Enigma de Sabedoria,5,Carlos Lima
245,Refúgio de Natureza,6,Carlos Gomes
246,Viagem de Horizonte,7,João Lima
247,Céu de Futuro,8,Isabela Ferreira
248,Memória de Liberdade,9,Beatriz Santos
249,Fogo de Mistério,10,Isabela Almeida
250,Fogo de Futuro,1,João Ferreira
251,Raízes de Fronteira,2,Beatriz Pereira
252,Caminhada de Fronteira,3,Pedro Souza
253,Eterno de Horizontes,4,Laura Ferreira
254,Tradição de História,5,Isabela Almeida
255,Mistério de Futuro,6,Maria Souza
256,Sonho de Renascer,7,Beatriz Santos
257,Viagem de Alma,8,Isabela Silva
258,Horizonte de Fronteira,9,Carlos Costa
259,Mar de Liberdade,10,Laura Souza
260,Liberdade de Mistério,1,Carlos Pereira
261,Alma de Luz,2,Rafael Ferreira
262,Amor de Horizontes,3,Rafael Souza
263,Cidade de Montanha,4,Isabela Gomes
264,Vida de Mar,5,Isabela Gomes
265,Natureza de Raízes,6,Pedro Almeida
266,Alma de Cidade,7,João Almeida
267,Amor de Reflexo,8,Mateus Silva
268,Fronteira de Imortal,9,Beatriz Gomes
269,Natureza de Guerra,10,Maria Ferreira
270,Vento de Raízes,1,Rafael Costa
271,Alma de Mar,2,Beatriz Lima
272,Aventura de Mar,3,Rafael Silva
273,Fronteira de Alma,4,Carlos Pereira
274,Alma de Caminho,5,Pedro Silva
275,Vida de Renascer,6,Carlos Ferreira
276,História de Fronteira,7,Beatriz Souza
277,Mistério de História,8,Mateus Silva
278,Eterno de Amor,9,Rafael Santos
279,Fronteira de Fogo,10,Carlos Costa
280,Aventura de Raízes,1,Maria Almeida
281,Sabedoria de Eterno,2,Beatriz Silva
282,Terra de Enigma,3,Laura Oliveira
283,Herança de Imortal,4,Carlos Pereira
284,Mistério de Amor,5,Beatriz Pereira
285,Memória de Terra,6,João Costa
286,Memória de Sonho,7,Pedro Souza
287,Renascer de Reflexo,8,Carlos Almeida
288,Aventura de Mistério,9,Maria Lima
289,Montanha de Imortal,10,Maria Costa
290,Guerra de Alma,1,Rafael Silva
291,Mistério de Coração,2,Pedro Santos
292,Amor de Eterno,3,Mateus Ferreira
293,Imortal de Alma,4,Beatriz Gomes
294,Futuro de Segredo,5,Pedro Lima
295,Luz de Viagem,6,João Oliveira
296,Refúgio de Céu,7,Mateus Pereira
297,Esperança de Segredo,8,Mateus Pereira
298,Liberdade de Labirinto,9,João Almeida
299,Vento de Reflexo,10,Carlos Gomes
300,Enigma de Luz,1,Laura Santos
301,Alma de História,2,Beatriz Souza
302,Vento de Destino,3,Beatriz Ferreira
303,Cidade de Destino,4,Carlos Silva
304,Futuro de Mistério,5,Pedro Oliveira
305,Horizonte de Imortal,6,Beatriz Ferreira
306,Refúgio de Eterno,7,Carlos Lima
307,Esperança de Sombras,8,Carlos Oliveira
308,Natureza de Esperança,9,Beatriz Silva
309,Esperança de Imortal,10,Maria Almeida
310,Destino de Segredo,1,Beatriz Lima
311,Guerra de Sabedoria,2,Mateus Santos
312,Ecos de Horizontes,3,Pedro Ferreira
313,Caminho de Enigma,4,Pedro Oliveira
314,Céu de Aventura,5,Mateus Santos
315,Cidade de Mistério,6,Laura Silva
316,Horizonte de Viagem,7,Carlos Pereira
317,Herança de Renascer,8,Beatriz Gomes
318,Aventura de Vida,9,Mateus Santos
319,Viagem de Labirinto,10,Laura Almeida
320,Guerra de Eterno,1,Rafael Souza
321,Esperança de Fogo,2,Beatriz Lima
322,História de Aventura,3,Carlos Lima
323,Revolução de Futuro,4,Beatriz Pereira
324,Caminhada de Cidade,5,Laura Souza
325,Reflexo de Memória,6,Beatriz Lima
326,História de Caminho,7,Isabela Gomes
327,Futuro de Fronteira,8,Isabela Oliveira
328,Amor de Cidade,9,Isabela Lima
329,Destino de Alma,10,Laura Costa
330,Céu de Alma,1,João Costa
331,Segredo de Refúgio,2,Ana Silva
332,Luz de Ecos,3,Maria Oliveira
333,Futuro de Fogo,4,Mateus Pereira
334,Guerra de Herança,5,Rafael Gomes
335,Vida de Eterno,6,Pedro Santos
336,Sabedoria de Segredo,7,Carlos Silva
337,Vento de Caminho,8,Laura Pereira
338,Horizontes de Imortal,9,Ana Gomes
339,Mar de Ecos,10,Laura Gomes
340,História de Revolução,1,Ana Ferreira
341,Labirinto de Sabedoria,2,Carlos Pereira
342,Refúgio de Memória,3,Isabela Costa
343,Terra de Céu,4,Beatriz Pereira
344,Liberdade de Céu,5,Carlos Gomes
345,Vida de Reflexo,6,João Gomes
346,Luz de Céu,7,Laura Pereira
347,Caminho de Liberdade,8,Isabela Gomes
348,Caminhada de Memória,9,Ana Lima
349,Ecos de Sombras,10,Ana Lima
350,Viagem de Aventura,1,Mateus Silva
351,Vida de Tradição,2,Beatriz Santos
352,Sonho de Vento,3,Ana Lima
353,Coração de Mistério,4,Beatriz Souza
354,Terra de Cidade,5,Isabela Souza
355,Natureza de Destino,6,Maria Oliveira
356,Caminho de Renascer,7,Maria Lima
357,Segredo de Aventura,8,Mateus Ferreira
358,Fogo de Raízes,9,Carlos Santos
359,Mistério de Natureza,10,Pedro Costa
360,Memória de Luz,1,Carlos Silva
361,Horizonte de Caminhada,2,Carlos Ferreira
362,Mistério de Ecos,3,Maria Santos
363,Vento de Mistério,4,Rafael Silva
364,Destino de Raízes,5,Pedro Gomes
365,Montanha de Liberdade,6,Maria Gomes
366,Aventura de Horizonte,7,Carlos Santos
367,Fronteira de Raízes,8,João Santos
368,Tradição de Destino,9,Pedro Santos
369,Caminhada de Sombras,10,Carlos Souza
370,Segredo de Vento,1,Beatriz Souza
371,Céu de Caminhada,2,João Pereira
372,Montanha de Destino,3,Beatriz Gomes
373,Montanha de Futuro,4,Isabela Almeida
374,Liberdade de Fronteira,5,João Lima
375,Herança de Refúgio,6,Isabela Santos
376,Liberdade de Eterno,7,Mateus Ferreira
377,Vida de Revolução,8,Isabela Costa
378,Cidade de Esperança,9,Pedro Santos
379,Eterno de Labirinto,10,Ana Lima
380,Renascer de Terra,1,Laura Lima
381,Liberdade de Guerra,2,Beatriz Pereira
382,Labirinto de Luz,3,Ana Pereira
383,Caminhada de Futuro,4,João Ferreira
384,Mar de Eterno,5,Ana Lima
385,Herança de Revolução,6,Isabela Oliveira
386,Viagem de Destino,7,Mateus Silva
387,Céu de Reflexo,8,Ana Lima
388,Segredo de Futuro,9,Carlos Souza
389,Sabedoria de Viagem,10,Carlos Gomes
390,Fogo de Ecos,1,Carlos Almeida
391,Fogo de Vida,2,Ana Santos
392,Montanha de Amor,3,João Santos
393,Vento de Liberdade,4,Beatriz Almeida
394,Herança de Cidade,5,Rafael Oliveira
395,Vento de Sabedoria,6,Maria Gomes
396,Reflexo de Segredo,7,Isabela Gomes
397,Caminho de Sabedoria,8,Rafael Silva
398,Terra de Sombras,9,Maria Pereira
399,Mar de Coração,10,Ana Almeida
400,Ecos de Refúgio,1,Ana Santos
401,Guerra de Liberdade,2,Laura Oliveira
402,Alma de Revolução,3,Rafael Ferreira
403,Futuro de Mar,4,Maria Santos
404,Amor de Guerra,5,Carlos Silva
405,Fogo de Caminho,6,Carlos Costa
406,Céu de Herança,7,Pedro Silva
407,Renascer de Imortal,8,Maria Costa
408,Cidade de Aventura,9,Mateus Lima
409,Enigma de Terra,10,Rafael Almeida
410,Eterno de Vento,1,Pedro Santos
411,Eterno de Refúgio,2,Beatriz Pereira
412,Mar de Caminho,3,Carlos Ferreira
413,Sabedoria de Sonho,4,Ana Lima
414,Guerra de Memória,5,Carlos Lima
415,Futuro de Alma,6,Carlos Pereira
416,Enigma de Reflexo,7,João Ferreira
417,Revolução de Memória,8,Mateus Souza
418,Labirinto de Sonho,9,Ana Oliveira
419,Terra de Mistério,10,Beatriz Pereira
420,Esperança de Horizonte,1,Ana Ferreira
421,Aventura de Aventura,2,Beatriz Costa
422,Ecos de Viagem,3,Isabela Santos
423,Natureza de Memória,4,Maria Santos
424,Guerra de Enigma,5,Carlos Souza
425,Amor de Ecos,6,Ana Oliveira
426,Caminhada de Reflexo,7,Laura Almeida
427,Raízes de Sombras,8,Ana Silva
428,Fronteira de Liberdade,9,Mateus Ferreira
429,Vida de Segredo,10,Laura Ferreira
430,Sombras de Amor,1,Pedro Souza
431,Ecos de Natureza,2,Mateus Ferreira
432,Segredo de Amor,3,Maria Ferreira
433,Mar de Sabedoria,4,Maria Oliveira
434,Reflexo de Coração,5,Isabela Silva
435,Fogo de Destino,6,Beatriz Costa
436,Natureza de Horizonte,7,Pedro Ferreira
437,Ecos de Terra,8,Pedro Oliveira
438,Sonho de Alma,9,Ana Souza
439,Revolução de Fogo,10,Laura Lima
440,Sonho de Eterno,1,Rafael Silva
441,Enigma de História,2,Isabela Lima
442,Refúgio de Refúgio,3,Isabela Gomes
443,Vida de Alma,4,Mateus Pereira
444,Terra de Aventura,5,João Silva
445,Labirinto de Futuro,6,Beatriz Pereira
446,Natureza de Eterno,7,Ana Almeida
447,Guerra de Cidade,8,Beatriz Silva
448,Caminhada de Segredo,9,Rafael Costa
449,Caminhada de Viagem,10,Beatriz Santos
450,Tradição de Luz,1,Beatriz Oliveira
451,Alma de Herança,2,Pedro Ferreira
452,Revolução de Fronteira,3,Carlos Oliveira
453,Coração de Horizonte,4,Mateus Almeida
454,Destino de Refúgio,5,Rafael Souza
455,Refúgio de Horizontes,6,Carlos Silva
456,Esperança de Enigma,7,Laura Gomes
457,Luz de Sonho,8,Isabela Almeida
458,Montanha de Esperança,9,Laura Lima
459,Coração de Viagem,10,Ana Lima
460,Tradição de Ecos,1,Pedro Ferreira
461,Coração de Fronteira,2,Carlos Pereira
462,Eterno de Tradição,3,João Lima
463,Enigma de Vento,4,Beatriz Oliveira
464,Esperança de Amor,5,Rafael Souza
465,Enigma de Aventura,6,Ana Ferreira
466,Amor de Herança,7,Maria Lima
467,Cidade de Imortal,8,Laura Silva
468,Sabedoria de Terra,9,João Ferreira
469,Mistério de Enigma,10,Rafael Souza
470,Destino de Sombras,1,Ana Souza
471,Sonho de Guerra,2,João Souza
472,Céu de Mar,3,João Santos
473,Reflexo de Cidade,4,Maria Ferreira
474,Futuro de Amor,5,João Pereira
475,Cidade de Horizontes,6,Ana Lima
476,Aventura de Esperança,7,Beatriz Costa
477,Viagem de Guerra,8,Beatriz Almeida
478,Fronteira de Luz,9,Isabela Pereira
479,Céu de Destino,10,Maria Santos
480,Futuro de Ecos,1,Laura Santos
481,Aventura de História,2,Laura Oliveira
482,Labirinto de Memória,3,Isabela Gomes
483,Vida de Coração,4,Rafael Oliveira
484,Herança de Herança,5,Laura Almeida
485,Alma de Destino,6,Mateus Almeida
486,Renascer de Aventura,7,Laura Pereira
487,Ecos de Esperança,8,Pedro Silva
488,Tradição de Vento,9,Laura Ferreira
489,Memória de Natureza,10,Carlos Santos
490,Herança de Vida,1,Maria Almeida
491,Cidade de Vento,2,Rafael Santos
492,Amor de Fronteira,3,Rafael Lima
493,Terra de Imortal,4,Mateus Ferreira
494,Natureza de Mistério,5,Ana Souza
495,Sabedoria de Céu,6,Maria Ferreira
496,Renascer de Sombras,7,Maria Ferreira
497,Fogo de Renascer,8,Ana Gomes
498,Vento de Viagem,9,Ana Oliveira
499,Raízes de Horizonte,10,Ana Ferreira
500,Memória de Coração,1,Rafael Oliveira
501,Sabedoria de História,2,Pedro Ferreira
502,Viagem de Fronteira,3,Mateus Ferreira
503,Labirinto de Reflexo,4,Pedro Lima
504,Amor de Mistério,5,Laura Souza
505,Tradição de Tradição,6,Ana Lima
506,Coração de Labirinto,7,Rafael Santos
507,Horizonte de Revolução,8,Carlos Ferreira
508,Horizontes de Céu,9,João Pereira
509,Ecos de Memória,10,Maria Pereira
510,Reflexo de Futuro,1,Laura Silva
511,Imortal de Liberdade,2,Maria Silva
512,Montanha de Aventura,3,Maria Costa
513,Revolução de Herança,4,Beatriz Ferreira
514,Alma de Terra,5,Maria Ferreira
515,Amor de Céu,6,Mateus Gomes
516,Destino de Céu,7,Ana Silva
517,Mar de Amor,8,Rafael Souza
518,Revolução de Montanha,9,Mateus Pereira
519,Caminhada de Alma,10,Pedro Oliveira
520,Montanha de Caminhada,1,Pedro Lima
521,Terra de Coração,2,Ana Lima
522,Sombras de Esperança,3,Laura Costa
523,Coração de Revolução,4,João Silva
524,Imortal de Vida,5,Beatriz Costa
525,Imortal de Luz,6,Beatriz Gomes
526,Imortal de Revolução,7,Mateus Costa
527,Reflexo de Aventura,8,Mateus Ferreira
528,Coração de Imortal,9,Pedro Silva
529,Coração de Natureza,10,Carlos Santos
530,Herança de Fogo,1,Rafael Santos
531,Fronteira de História,2,Ana Gomes
532,Raízes de Memória,3,Ana Pereira
533,Imortal de Horizonte,4,Isabela Almeida
534,Fronteira de Natureza,5,Rafael Almeida
535,Montanha de Fogo,6,Beatriz Santos
536,Caminho de Imortal,7,Pedro Almeida
537,Segredo de Tradição,8,Beatriz Pereira
538,Horizontes de Sonho,9,Maria Gomes
539,Aventura de Futuro,10,Carlos Almeida
540,Tradição de Viagem,1,Isabela Lima
541,Refúgio de Imortal,2,Maria Pereira
542,Horizonte de Sabedoria,3,Carlos Pereira
543,Sombras de Vento,4,Rafael Souza
544,Esperança de Refúgio,5,Rafael Lima
545,Viagem de Enigma,6,Laura Pereira
546,Caminhada de Herança,7,Isabela Costa
547,Caminho de Caminhada,8,Rafael Almeida
548,História de Esperança,9,Beatriz Lima
549,Memória de Eterno,10,Maria Costa
550,Amor de Vida,1,Laura Gomes
551,Caminhada de Vida,2,João Oliveira
552,Futuro de Herança,3,Mateus Souza
553,Enigma de Coração,4,Maria Gomes
554,Guerra de Fogo,5,Carlos Silva
555,História de Enigma,6,Laura Gomes
556,Labirinto de Mistério,7,Carlos Santos
557,Esperança de Terra,8,Rafael Oliveira
558,Natureza de Renascer,9,Ana Santos
559,Luz de Labirinto,10,Rafael Santos
560,Vento de Horizonte,1,João Santos
561,Luz de Vida,2,Ana Santos
562,Horizonte de Natureza,3,Maria Souza
563,História de Vento,4,Beatriz Oliveira
564,Futuro de Enigma,5,Mateus Almeida
565,Memória de Céu,6,Ana Santos
566,Futuro de Eterno,7,Isabela Santos
567,Esperança de Cidade,8,Ana Costa
568,Coração de Renascer,9,Laura Gomes
569,Reflexo de Sonho,10,Isabela Ferreira
570,Herança de Memória,1,Pedro Pereira
571,Raízes de Viagem,2,Mateus Pereira
572,Viagem de Memória,3,Mateus Souza
573,Liberdade de Fogo,4,Ana Ferreira
574,Horizonte de Caminho,5,Laura Almeida
575,Revolução de Eterno,6,Maria Souza
576,Caminhada de Terra,7,Carlos Silva
577,Vida de Amor,8,Laura Lima
578,Sonho de Caminho,9,Rafael Pereira
579,Ecos de Mistério,10,Maria Gomes
580,Renascer de Renascer,1,Isabela Gomes
581,Renascer de Horizontes,2,Carlos Almeida
582,Caminhada de Destino,3,Maria Souza
583,Herança de Sabedoria,4,Pedro Pereira
584,Tradição de Terra,5,Pedro Lima
585,Memória de Esperança,6,Beatriz Gomes
586,Renascer de Viagem,7,Maria Costa
587,Vida de Aventura,8,Isabela Oliveira
588,Alma de Guerra,9,Carlos Lima
589,Luz de Revolução,10,Isabela Lima
590,Renascer de Céu,1,Beatriz Lima
591,Destino de Futuro,2,Carlos Silva
592,Cidade de Herança,3,Mateus Souza
593,Liberdade de Aventura,4,Pedro Silva
594,Reflexo de Mar,5,João Almeida
595,Ecos de Vento,6,Ana Costa
596,Reflexo de Terra,7,Carlos Lima
597,Guerra de Aventura,8,Maria Gomes
598,Montanha de Herança,9,Rafael Ferreira
599,Imortal de Fronteira,10,Isabela Ferreira
600,Aventura de Coração,1,Beatriz Almeida
601,Cidade de Futuro,2,Laura Souza
602,Herança de Guerra,3,Maria Oliveira
603,Horizonte de Tradição,4,Rafael Lima
604,Natureza de Refúgio,5,Maria Ferreira
605,Revolução de Imortal,6,Ana Pereira
606,Reflexo de Reflexo,7,Carlos Gomes
607,Reflexo de Vento,8,Pedro Lima
608,Alma de Horizontes,9,Maria Pereira
609,Sonho de Memória,10,Carlos Ferreira
610,Cidade de Vida,1,João Oliveira
611,Vida de Liberdade,2,Maria Lima
612,Amor de Viagem,3,Rafael Souza
613,Céu de Memória,4,Maria Ferreira
614,Futuro de Imortal,5,Pedro Souza
615,Horizonte de Ecos,6,Ana Costa
616,Viagem de Segredo,7,Mateus Silva
617,Reflexo de Amor,8,Pedro Pereira
618,Raízes de Montanha,9,Isabela Gomes
619,Amor de Enigma,10,Ana Pereira
620,Reflexo de Caminho,1,João Lima
621,Montanha de Mar,2,Isabela Almeida
622,Renascer de Natureza,3,Carlos Ferreira
623,Vento de Segredo,4,Laura Santos
624,Vida de Destino,5,Pedro Oliveira
625,Caminho de Esperança,6,Pedro Silva
626,Futuro de Reflexo,7,Beatriz Souza
627,Herança de Natureza,8,Laura Gomes
628,Eterno de Memória,9,Laura Almeida
629,Fogo de Montanha,10,Carlos Gomes
630,Mistério de Horizontes,1,Rafael Silva
631,Ecos de Liberdade,2,Carlos Lima
632,Cidade de Fogo,3,Mateus Costa
633,Aventura de Imortal,4,Maria Ferreira
634,Raízes de Imortal,5,João Gomes
635,Coração de Vento,6,Rafael Santos
636,Segredo de Sabedoria,7,Isabela Oliveira
637,Mistério de Mistério,8,Maria Gomes
638,Revolução de Céu,9,Laura Souza
